TYPE,JUNCTION BLACKSITE,NOTE,latitude,longitude
A,"ARGYLE STREET, SAI YEE STREET",,22.3222,114.171
A,"ARGYLE STREET, TONG MI ROAD, CHERRY STREET",,22.3191,114.1631
A,"BOUNDARY STREET, EMBANKMENT ROAD",,22.3271,114.1766
A,"CANTON ROAD, AUSTIN ROAD, AUSTIN ROAD WEST",,22.3034,114.1678
A,"CHATHAM ROAD SOUTH, AUSTIN ROAD, CHEONG WAN ROAD",,22.3024,114.1764
A,"CHEUNG SHA WAN ROAD, BUTTERFLY VALLEY ROAD",,22.3396,114.144
A,"CHEUNG SHA WAN ROAD, NAM CHEONG STREET",,22.3363,114.1463
A,"CHEUNG SHA WAN ROAD, YEN CHOW STREET",1,22.3315,114.161
A,"HIP WO STREET, MUT WAH STREET, YUET WAH STREET",,22.3163,114.2261
A,"JORDAN ROAD, LIN CHEUNG ROAD",,22.3051,114.172
A,"KI LUNG STREET, KWEILIN STREET",,22.3298,114.1606
A,"KWUN TONG ROAD, LAI YIP STREET, ELEGANCE ROAD",,22.3133,114.2251
A,"KWUN TONG ROAD, LEI YUE MUN ROAD, TSUI PING ROAD",,22.3166,114.2288
A,"LAI CHI KOK ROAD, YEN CHOW STREET",,22.3298,114.1585
A,"LEI YUE MUN ROAD (W/B), CHA KWO LING ROAD",,22.2992,114.2386
A,"LIN CHEUNG ROAD (N/B), CHERRY STREET",,22.3094,114.1646
A,"MA TAU CHUNG ROAD, SUNG WONG TOI ROAD, FU NING STREET",,22.3243,114.1889
A,"NAM CHEONG STREET, HAI TAN STREET",,22.331,114.1646
A,"NATHAN ROAD, ARGYLE STREET",,22.3195,114.1691
A,"NATHAN ROAD, AUSTIN ROAD",,22.303,114.1717
A,"NATHAN ROAD, GASCOIGNE ROAD, KANSU STREET",1,22.3083,114.1711
A,"NATHAN ROAD, MONG KOK ROAD",,22.3202,114.1668
A,"SHANGHAI STREET, DUNDAS STREET",,22.3147,114.1692
A,"TSEUNG KWAN O ROAD, LEI YUE MUN ROAD, WAI FAT ROAD",,22.3095,114.2298
A,"TSUEN KAM INTERCHANGE, TEXACO ROAD NORTH",,22.3741,114.1222
A,"TSUEN KAM INTERCHANGE, WAI TSUEN ROAD",,22.3741,114.1154
A,"TSUEN TSING INTERCHANGE, TSUEN WAN ROAD",,22.3742,114.1152
A,"WATERLOO ROAD, ARGYLE STREET, PRINCESS MARGARET ROAD",,22.3204,114.1793
B,"ALDRICH BAY ROAD, OI SHUN ROAD",,22.28,114.2273
B,"ARGYLE STREET, KADOORIE AVENUE",,22.3203,114.1741
B,"CANTON ROAD, PUBLIC SQUARE STREET",,22.3104,114.1713
B,"CASTLE PEAK ROAD - YUEN LONG, LONG YAT ROAD",,22.4093,113.9701
B,"CASTLE PEAK ROAD, KWONG CHEUNG STREET",,22.3376,114.1578
B,"CHEUNG SHA WAN ROAD, TONKIN STREET",,22.3363,114.1463
B,"CHEUNG WAH STREET, FUK WING STREET",,22.3404,114.1552
B,"FUK WA STREET, YEN CHOW STREET",,22.3323,114.162
B,"HIP WO STREET, TUNG YAN STREET",,22.3162,114.2259
B,"HONG NING ROAD, MING CHI STREET",,22.3146,114.2233
B,"KAM SHEUNG ROAD, TUNG WUI ROAD",,22.4241,114.0756
B,"LAI CHI KOK ROAD, FAT TSEUNG STREET",,22.3358,114.148
B,"LAI CHI KOK ROAD, NAM CHEONG STREET",,22.331,114.1646
B,"MA TAU WAI ROAD, FAT KWONG STREET, MAN YUE STREET",,22.3135,114.1878
B,"MAU YIP ROAD, MAU TAI ROAD OUTSIDE METRO CITY PHASE 1",,22.3213,114.2573
B,"NATHAN ROAD, HAIPHONG ROAD, HUMPHREYS AVENUE",,22.2983,114.1734
B,"NEW CLEAR WATER BAY ROAD, FUNG SHING STREET",,22.3348,114.2298
B,"NGAU TAU KOK ROAD, HORSE SHOE LANE",,22.3147,114.222
B,"PRINCE EDWARD ROAD WEST, FA YUEN STREET",,22.3208,114.1707
B,"SHEUNG HEUNG ROAD, PAU CHUNG STREET",,22.3185,114.1885
B,"YI CHUN STREET, NIN CHUN STREET",,22.2782,114.1926